"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban"
"Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban"
"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban"
"Rural",NA,"Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,"Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural",NA,NA,NA,"Rural","Rural","Rural","Rural",NA,"Rural",NA,NA,NA,NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural","Rural","Rural",NA,NA,"Rural","Rural",NA,NA,"Rural","Rural","Rural","Rural",NA,NA,"Rural",NA,NA
"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,NA,NA,NA,"Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural",NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,NA,"Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural",NA,"Rural",NA
"Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban",NA,"Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban",NA,"Urban"
"Rural",NA,"Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,NA,NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural",NA,NA,"Rural","Rural"
NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA
NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban"
NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban"
NA,NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban",NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,NA
"Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban",NA,NA,"Urban",NA,NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban",NA,NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,NA,NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,"Urban",NA,NA,"Urban",NA,"Urban","Urban",NA,"Urban",NA,NA,"Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,NA,NA,NA,NA,"Urban",NA,NA,NA,"Urban"
"Rural","Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,NA,NA,"Rural","Rural",NA,NA,NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural"
"Rural",NA,"Rural",NA,NA,"Rural",NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural",NA,NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural",NA,"Rural",NA,NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural",NA,NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural"
"Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,NA,"Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban",NA,NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban",NA,NA,NA,NA,NA,"Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban"
"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban"
"Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban"
"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban"
"Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,NA,"Urban","Urban","Urban",NA,"Urban",NA,NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA
NA,"Suburban","Suburban",NA,NA,NA,NA,NA,NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban",NA,NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban"
"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban",NA,NA,NA,NA,NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban"
"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban"
"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,"Suburban",NA,NA,"Suburban","Suburban","Suburban",NA
"Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban","Urban","Urban",NA,NA,NA,NA,NA,"Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban",NA,"Urban",NA,"Urban",NA,NA,"Urban",NA,"Urban",NA,NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,"Urban","Urban","Urban",NA,NA,NA,"Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA
"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,NA,NA,"Urban","Urban",NA,"Urban","Urban",NA,"Urban",NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban",NA,"Urban","Urban","Urban",NA,NA,NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban"
"Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural",NA,NA,NA,NA,"Rural",NA,"Rural","Rural",NA,NA,"Rural","Rural",NA,"Rural",NA,"Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,NA,"Rural","Rural","Rural",NA,"Rural","Rural",NA,"Rural",NA,"Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,"Rural",NA,"Rural","Rural","Rural",NA,"Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural","Rural",NA,NA,NA,"Rural","Rural"
"Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,NA,NA,"Suburban",NA,"Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban","Suburban",NA,NA,NA,NA,"Suburban","Suburban","Suburban","Suburban","Suburban",NA,NA,"Suburban","Suburban",NA,NA,"Suburban",NA,NA,NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban",NA,"Suburban","Suburban",NA,"Suburban",NA,"Suburban",NA,"Suburban","Suburban","Suburban","Suburban","Suburban"
NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,NA,NA,NA,NA,NA,NA,"Urban","Urban",NA,NA,NA,"Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban","Urban","Urban",NA,"Urban","Urban",NA,"Urban","Urban","Urban"
